Commands,Hard Label,Soft Label
go to the red room move chair to the green room,,1
push the bag into the green room,1,1
move to the chicken go to the green room,,
push the object in the red room into the green room,,1
go to the red room and push the chair into the green room,,1
go to the red room and then go to the green room,,1
go into the pink room retrieve the yellow object move it to the green room,,1
push chair from red room to green room,,1
push object into the green room,1,1
push the object from the red room into the green room,,1
go to the pink room push the yellow object into the green room,,1
go to pink room and push yellow object into green room,,1
go into the red room and push the object into the green room,,1
go to peach room south three west four go to green room,,1
push the bag into the green room,1,1
go south then move to green room,,
move to the green room,,
go to the green room,,
take the shortest path so that you are underneath/below the backpack then push the backpack into the green room,,
push the object in the next room into the green room,1,1
move to pink room pick up yellow thing move to green room,,1
go to the red room and push the yellow toy to the green room,,1
go to the red room move the object into the green room,,1
go into the red room place yourself behind the object and push it into the blue room,,
go from the blue room to the red room then push the yellow object into the green room,,1
push the backpack in from the red room into the green room,,1
push the object in the pink room into the green room,,1
go to below yellow object then go to green door,,1
go into the red room and move the object into the green room,,1
go to the yellow object in the pink room and move it to the green room,,1
go to red room push item to green room,,1
move chair to green room,1,1
go push object into green room,1,1
move behind the yellow object move to the green room,1,1
please move the chair into the green room,1,1
get out of room and pick up item and take it to green room,1,1
go to the pink room go to the chair pick up the chair go to the green room,,1
put the backpack in the green room,1,1
go to the green room,,
push the yellow object into the green room,1,1
push chair into green room,1,1
go to green room,,
go to the red room and push the box into the green room,,1
move to the pink room move underneath chair move to the green room,,1
go to the red room and move the object to the green room,,1
go into the pink room and get under the yellow dog and push it into the green room,,1
go down take left go north enter into the green room,,
go to red room push yellow thing into green room,,1
move to the red room then move the object into the green room,,1
go to the red room move behind the yellow object then move to the green room,,1
move to the red room move to the yellow item move the yellow item to the green room,,1
go to the red push dog into green room,,
go to the pink room go to the chair go to the blue room,,1
leave the blue room and enter the red room and go behind the object and push it into the green room,,1
push the bag into the green room,1,1
enter the red room and then push the object into green room,,1
go from the blue room to the red room then push the yellow object from the red room into the green room,,1
go to the red room push puppy into the green room,,
go into the red room and push the chair into the green room,,1
move to red room push yellow robot into green room,1,1
go to the red room push the object into the green room,,1
go to the red room take the object and go into the green room,,1
go to the orange room then push the chair from the orange room into the green room,,1
go to the pink room room and push the object into the green room,,1
go into the red room and push the chair into the green room,,1
move to the red room grasp the backpack then move to the green room,,1
go to the red room move the yellow thing into the green room,,1
go to the yellow chair push the yellow chair into the green room,1,1
go to the red room then the green room,,1
move to the red room move the yellow item to the green room,,1
go to pink room locate yellow object push to the green room,,1
go to the pink room . go the yellow chair . push the yellow chair to the green room,,1
go to the pink room and push the yellow object into the green room,,1
move to the red room and push the chair into the green room,,1
go into the room and push the yellow chair into the green room,1,1
move to the red room move to the object in the red room move the object to the green room,,1
go to the red room and push the chair into the green room,,1
go to the red room take the yellow color object from there and go to green room with this object,,1
robot c go through the door into the red room go through the door into the green room,,1
go from blue room to the red room go under object and move it to the green room,,1
move to pink room and get object and move to green room,,1
move blue room to red room and take a toy move to green room,,1
move to red room move west then down then west again and up to green room,,
go into the red room then head to the green room,,1
leave the blue room and go into the red room then go to the object in the red room and move the object into the green room,,1
go to red room move the item and go to green room,,1
go to the red room and push the yellow thing into the green room,,1
move to the red room then move with the object to the green room,,1
go into the red room then push the chair into the green room,,1
move to the red room and then push the object into the green room,,1
goto red room push object to green room,,1
go to red room push object to green room,,1
go to red room get chair bring to green room,,1
go to red room go to far wall go to chair push chair to green room,,1
move to red room and then green room,,1
go into red room take dog with you to green room,,1
go from the purple room to the pink room then go over to the animal and push it into the green room,,1
